id,name,code
4c9dcdd6-3f8c-465e-b8f9-fe134a72c0da,St Helens South and Whiston,E14000963
800cdd10-a448-44f2-a7fd-580127d896a8,North East Cambridgeshire,E14000842
35772089-518c-495d-ac3d-7ff92a5bcd4f,Hackney South and Shoreditch,E14000721
0429f2ec-ffba-4f9e-9f49-cccdea122336,Bristol North West,E14000600
0665ed74-7170-4023-aeb8-7247733c1fbd,St Helens North,E14000962
1e2dea3f-93f3-40bc-9348-d98d700c4d78,North East Bedfordshire,E14000841
caf8c2dd-177a-4b3d-bdc5-e829587be4d2,Hackney North and Stoke Newington,E14000720
0d04d3a3-b95d-420a-a361-d77c26bdd3a0,St Austell and Newquay,E14000961
92c540ae-953a-485f-858e-9b834200ed9d,North Durham,E14000840
f6270405-f09c-46a5-be02-178c3bd2905c,Ochil and South Perthshire,S14000050
5323566f-566b-46a1-9c74-9591ceddf168,Southend West,E14000957
733cd965-8fd3-4d23-a60e-b08901e85d72,"Normanton, Pontefract and Castleford",E14000836
214aab72-167b-4412-a1f6-dc28a6a28f11,Gravesham,E14000715
e14620f6-0ba1-424b-adcf-6f76c1351c8a,"Southampton, Test",E14000956
68ec5fb1-cb56-400d-bcb8-3f9da0fb5471,Newton Abbot,E14000835
dbe3188a-ba2e-4be5-9b28-1de387a9800a,Grantham and Stamford,E14000714
b4084607-cf08-4c30-8361-ae95101c27b0,Paisley and Renfrewshire North,S14000052
18f62103-24b3-4031-bc1e-96bb23930475,"Southampton, Itchen",E14000955
7c23979a-f3eb-4e99-83d1-f719467dd75e,Newcastle-under-Lyme,E14000834
c00e03cc-3283-47b1-9f92-c24de807a426,Gosport,E14000713
2e0a2661-3e7a-422c-9e76-7d175967e5b2,Orkney and Shetland,S14000051
28453c64-0ce3-4941-b0ee-0b752d5f3e41,South West Wiltshire,E14000954
d93368e0-f8e9-47f0-af89-e745b2dce4da,Newcastle upon Tyne North,E14000833
c808db78-798b-4011-9ec7-e0d602e09370,Gloucester,E14000712
3365e7b7-4e70-443a-8914-b99e1606167d,Perth and North Perthshire,S14000054
923dd1c0-31d2-4e49-af20-fa393cc6b7c0,Guildford,E14000719
38042dff-02da-48b4-90a4-0e8afe258f53,Paisley and Renfrewshire South,S14000053
bc0e663d-5d9e-4fbe-8c90-03f6229ec696,North Dorset,E14000839
9673702a-cacf-4c49-af1f-7743179d1308,Greenwich and Woolwich,E14000718
355fb518-b719-41f3-839f-4ac6243fec9e,Rutherglen and Hamilton West,S14000056
4a50d693-5e5e-4cee-94cb-8f4e580d6e49,Spelthorne,E14000959
5f659017-6ee9-434b-bac1-8d7526681873,North Devon,E14000838
c05d8ce3-2f5f-401f-90c7-24fc84f9179c,Great Yarmouth,E14000717
f2b1a4fb-45df-4fb7-ae56-7f918363e33f,"Ross, Skye and Lochaber",S14000055
7653cb32-585f-4e2a-8d89-b6fdef09d68c,Southport,E14000958
0dbae27c-09bc-4e35-9ee9-72e0073882b5,North Cornwall,E14000837
